0.05,0.05,5,0.05,0.05
0.05,0.05,5,0.05,0.1
0.05,0.05,5,0.05,0.15
0.05,0.05,5,0.1,0.05
0.05,0.05,5,0.1,0.1
0.05,0.05,5,0.1,0.15
0.05,0.05,5,0.15,0.05
0.05,0.05,5,0.15,0.1
0.05,0.05,5,0.15,0.15
0.05,0.05,10,0.05,0.05
0.05,0.05,10,0.05,0.1
0.05,0.05,10,0.05,0.15
0.05,0.05,10,0.1,0.05
0.05,0.05,10,0.1,0.1
0.05,0.05,10,0.1,0.15
0.05,0.05,10,0.15,0.05
0.05,0.05,10,0.15,0.1
0.05,0.05,10,0.15,0.15
0.05,0.05,15,0.05,0.05
0.05,0.05,15,0.05,0.1
0.05,0.05,15,0.05,0.15
0.05,0.05,15,0.1,0.05
0.05,0.05,15,0.1,0.1
0.05,0.05,15,0.1,0.15
0.05,0.05,15,0.15,0.05
0.05,0.05,15,0.15,0.1
0.05,0.05,15,0.15,0.15
0.05,0.1,5,0.05,0.05
0.05,0.1,5,0.05,0.1
0.05,0.1,5,0.05,0.15
0.05,0.1,5,0.1,0.05
0.05,0.1,5,0.1,0.1
0.05,0.1,5,0.1,0.15
0.05,0.1,5,0.15,0.05
0.05,0.1,5,0.15,0.1
0.05,0.1,5,0.15,0.15
0.05,0.1,10,0.05,0.05
0.05,0.1,10,0.05,0.1
0.05,0.1,10,0.05,0.15
0.05,0.1,10,0.1,0.05
0.05,0.1,10,0.1,0.1
0.05,0.1,10,0.1,0.15
0.05,0.1,10,0.15,0.05
0.05,0.1,10,0.15,0.1
0.05,0.1,10,0.15,0.15
0.05,0.1,15,0.05,0.05
0.05,0.1,15,0.05,0.1
0.05,0.1,15,0.05,0.15
0.05,0.1,15,0.1,0.05
0.05,0.1,15,0.1,0.1
0.05,0.1,15,0.1,0.15
0.05,0.1,15,0.15,0.05
0.05,0.1,15,0.15,0.1
0.05,0.1,15,0.15,0.15
0.05,0.15,5,0.05,0.05
0.05,0.15,5,0.05,0.1
0.05,0.15,5,0.05,0.15
0.05,0.15,5,0.1,0.05
0.05,0.15,5,0.1,0.1
0.05,0.15,5,0.1,0.15
0.05,0.15,5,0.15,0.05
0.05,0.15,5,0.15,0.1
0.05,0.15,5,0.15,0.15
0.05,0.15,10,0.05,0.05
0.05,0.15,10,0.05,0.1
0.05,0.15,10,0.05,0.15
0.05,0.15,10,0.1,0.05
0.05,0.15,10,0.1,0.1
0.05,0.15,10,0.1,0.15
0.05,0.15,10,0.15,0.05
0.05,0.15,10,0.15,0.1
0.05,0.15,10,0.15,0.15
0.05,0.15,15,0.05,0.05
0.05,0.15,15,0.05,0.1
0.05,0.15,15,0.05,0.15
0.05,0.15,15,0.1,0.05
0.05,0.15,15,0.1,0.1
0.05,0.15,15,0.1,0.15
0.05,0.15,15,0.15,0.05
0.05,0.15,15,0.15,0.1
0.05,0.15,15,0.15,0.15
0.1,0.05,5,0.05,0.05
0.1,0.05,5,0.05,0.1
0.1,0.05,5,0.05,0.15
0.1,0.05,5,0.1,0.05
0.1,0.05,5,0.1,0.1
0.1,0.05,5,0.1,0.15
0.1,0.05,5,0.15,0.05
0.1,0.05,5,0.15,0.1
0.1,0.05,5,0.15,0.15
0.1,0.05,10,0.05,0.05
0.1,0.05,10,0.05,0.1
0.1,0.05,10,0.05,0.15
0.1,0.05,10,0.1,0.05
0.1,0.05,10,0.1,0.1
0.1,0.05,10,0.1,0.15
0.1,0.05,10,0.15,0.05
0.1,0.05,10,0.15,0.1
